name,description,category,usability,license,language,features,tags,link,icon
Clipdrop,Edição de imagem,🎨 Design,4,Gratuito,EN,"Remoção de fundo, Upscaling, Retoques automáticos, Geração de imagens, Edição em lote","Imagens, Design",https://www.clipdrop.co/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNlyB2qAHAPqIuZ7p86uAb8u21cz7aCnQlZA&s
DreamStudio,Geração de imagens,🎨 Design,4,Gratuito,"EN, PT","Criação de arte digital, Personalização de estilos, Edição de imagens, Variações automáticas, Controle de parâmetros","Imagens, Design",https://www.dreamstudio.ai/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR72Cix8-F7qUtmxh8G55QkXwPiAJ1jN5G4Nw&s
Ostagram,Fusão artística de imagens,🎨 Design,4,Gratuito e Pago,EN,"Transferência de estilo, Fusão de imagens, Efeitos artísticos, Personalização de parâmetros, Galeria de estilos","Imagens, Arte",https://www.ostagram.me/static_pages/lenta?last_days=1000&locale=en,https://www.ostagram.me/logo.png
CapCut,Edição de vídeo,🎥 Vídeo,4,Gratuito,Multilíngue,"Edição automática, Efeitos especiais, Transições, Trilha sonora, Templates prontos","Vídeo, Edição",https://www.capcut.com/pt-br/tools/ai-video-generator,https://images.sftcdn.net/images/t_app-icon-m/p/3ab9b4bc-bd4c-4ee3-b65e-fbab19e88adf/2239545102/capcut-Download-CapCut.jpg
Vidyo,Criação de vídeos curtos,🎥 Vídeo,4,Gratuito e Pago,EN,"Recorte inteligente, Legendagem automática, Otimização para redes sociais, Edição em lote, Templates personalizados","Vídeo, Edição",https://vidyo.ai/?via=duong-am&gad_source=1,https://stackviv.ai/wp-content/uploads/2023/11/Vidyo.png.webp
Autopod,Edição de podcasts,🎥 Vídeo,4,Gratuito e Pago,EN,"Edição multicâmera, Sincronização automática, Remoção de ruído, Mixagem de áudio, Exportação otimizada","Áudio, Podcast",https://www.autopod.fm/,https://cdn.prod.website-files.com/6366be903a6ceae134a4c884/642dd490353b4f35be29e05f_all%20blue%20logo%20banner-p-500.png
Canva Magic Design,Design gráfico,🎨 Design,4,Gratuito e Pago,Multilíngue,"Templates inteligentes, Geração de designs, Edição de imagens, Branding automático, Colaboração em equipe","Design, Criação",https://www.canva.com/magic-design/,https://static.canva.com/web/images/8439b51bb7a19f6e65ce1064bc37c197.svg
YouLearn,Criação de conteúdo educacional,📚 Educação,4,Gratuito,EN,"Geração de material didático, Quizzes automáticos, Personalização de conteúdo, Análise de aprendizado, Gamificação","Educação, Automação",https://www.youlearn.ai/,https://app.youlearn.ai/youlearn.png
VocalReplica,Extração de áudio,🎥 Vídeo,3,Gratuito,EN,"Separação de vocais, Isolamento de instrumentos, Limpeza de áudio, Conversão de formato, Edição de áudio","Áudio, Edição",https://acestudio.ai/,https://pbs.twimg.com/profile_images/1547177547330355200/7J8zlbZB_400x400.png
Dora,Criação de websites,🌐 Web e Desenvolvimento,4,Gratuito,EN,"Design automático, Otimização SEO, Responsividade, Templates personalizados, Integração com IA","Web, Automação",https://www.dora.run/ai,https://www.dora.run/__dora__/account/assets/logo.3c206881.svg
Speechify,Treinamento de fala,📚 Educação,4,Gratuito,EN,"Análise de pronúncia, Feedback em tempo real, Exercícios personalizados, Monitoramento de progresso, Dicas de apresentação","Educação, Fala",https://www.speechy.com/,https://play-lh.googleusercontent.com/KeE4TV1dcCZyd8iEYIYbOxBNPvdbMXs-VcJ-gNTA8En07mIVikts7dnT07PYk62dJ9er
Jasper,Criação de conteúdo e marketing,📝 Conteúdo,4,Pago (teste gratuito),EN,"Geração de posts e artigos, Criação de anúncios, Sugestões de ideias de conteúdo, Ajuste de tom de voz, Suporte a múltiplos idiomas","Conteúdo, Marketing",https://www.jasper.ai,https://cdn.prod.website-files.com/60e5f2de011b86acebc30db7/665dd9c1792c38c09c7d74ec_Jasper%20Logo%20Lockup%20-%20Dark%20Khaki.svg
Copy.ia,Criação de conteúdo e redação,📝 Conteúdo,4,Gratuito e Pago,EN,"Geração de textos para marketing, Ideias de conteúdo, Esboços de blog, Assistente para redes sociais, Geração de e-mails","Conteúdo, Marketing",https://www.copy.ai,https://cdn.prod.website-files.com/628288c5cd3e8411b90a36a4/659e8f4c92a0028e36e42623_logo_kerning-fix.svg
Writesonic,Plataforma de marketing de conteúdo baseada em IA,📝 Conteúdo,4,Gratuito e Pago,EN,"Criação de posts para redes sociais, Geração de blogs e landing pages, Criação de anúncios, Assistente de SEO, Ajuste de tom de voz","Conteúdo, Marketing",https://www.writesonic.com,https://cdn-1.webcatalog.io/catalog/writesonic/writesonic-icon-filled-256.png?v=1714776525059
MarketMuse,Pesquisa e criação de conteúdo orientada por SEO,📝 Conteúdo,3,Pago (teste gratuito),EN,"Análise de tópicos, Sugestões de conteúdo, Otimização para SEO, Auditoria de conteúdo, Relatórios de lacunas de conteúdo","Conteúdo, SEO, Pesquisa",https://creativedestructionlab.com/wp-content/uploads/2018/07/marketmusse.jpg,"https://juliety.com/wpcontent/uploads/2023/05/marketmuse-logo.png

"
Anyword,IA para criação de copy e conteúdo de marketing,📝 Conteúdo,4,Pago (teste gratuito),EN,"Copy para anúncios, Ajuste de tom de voz, Análises de performance de copy, Geração de posts para redes sociais, Recomendações baseadas em dados","Conteúdo, Marketing, Copywriting",https://www.anyword.com,https://www.appengine.ai/uploads/images/profile/logo/Anyword-AI.png
CopySmith,Criação de conteúdo e copywriting,📝 Conteúdo,3,Pago (teste gratuito),EN,"Criação de conteúdo para e-commerce, SEO otimizado, Geração de blogs, Gerenciamento de ideias, Assistente de redes sociais","Marketing, Conteúdo, Escrita",https://www.copysmith.ai,https://storage.googleapis.com/hootsuite-assets/app-directory-logo.svg
Storydoc,Criação de apresentações interativas voltada para marketing,📝 Conteúdo,4,Pago (teste gratuito),EN,"Apresentações interativas, Monitoramento de engajamento, Templates personalizáveis, Análise de comportamento, Integração com CRM",,https://www.storydoc.com,https://cdn-1.webcatalog.io/catalog/storydoc/storydoc-icon-filled-256.webp?v=1714782151738
Replica Studios,Criação de dublagens e vozes para animação,📝 Conteúdo,4,Pago,EN,"Banco de vozes personalizáveis, Controle de entonação, Dublagem de personagens, Criação de vozes exclusivas, Compatibilidade com animações e vídeos","Áudio, Voz, Mídia",https://replicastudios.com,https://www.fineshare.com/wp-content/uploads/2024/06/Replica-Studios.png
Storybird AI,Criação de histórias e literatura infantil,📝 Conteúdo,4,Gratuito e Pago,EN,"Criação de histórias, Templates para livros infantis, Ilustrações automáticas, Ferramenta colaborativa para escritores, Banco de ideias para histórias","Storytelling, Educação, Entretenimento",https://storybird.ai,https://media.licdn.com/dms/image/v2/D560BAQFiS5WRh_9Jmw/company-logo_200_200/company-logo_200_200/0/1709783070169/storydotcom_logo?e=2147483647&v=beta&t=Zz5ANxqk1mEboJgs5hISo7KtoRCut8x_ck5xaimW5vU
AIVA,Criação e composição musical,📝 Conteúdo,4,Gratuito e Pago,EN,"Composição em diferentes estilos musicais, Personalização de instrumentos, Exportação de MIDI e partituras, Colaboração com artistas, Ajustes de emoção musical","Música, Composição",https://www.aiva.ai,https://cdn-1.webcatalog.io/catalog/aiva/aiva-icon-filled-256.webp?v=1714780767514
Soundraw,Criação musical,📝 Conteúdo,4,Gratuito e Pago,EN,"Geração automática de músicas, Escolha de estilo e emoção, Banco de faixas sem royalties, Integração com editores de vídeo, Personalização de ritmo e melodia","Música, Criação, Multimídia",https://soundraw.io,https://cdn-1.webcatalog.io/catalog/soundraw/soundraw-icon-filled-256.png?v=17147781763466
Textblaze,Ferramenta de automação de texto para produtividade,📝 Conteúdo,4,Gratuito e Pago,EN,"Criação de snippets personalizados, Expansão de texto automatizada, Integração com várias plataformas, Gestão de templates, Macros para personalização","Automação, Texto, Produtividade",https://blaze.today/aiblaze/,https://cdn-b.saashub.com/images/app/service_logos/171/e8yh0zwzrsuh/large.png?1638399904
Boomy,Criação musical,📝 Conteúdo,4,Gratuito e Pago,EN,"Geração automática de músicas, Escolha de estilo e gênero"", Monetização em plataformas de streaming, Biblioteca de loops e samples, Personalização do andamento musical","Música, Criação, Automação",https://www.boomy.com,https://miro.medium.com/v2/resize:fit:960/1*xpSGmtnpDtrWdOCxdRc_sQ.png
Beautiful AI,Software de apresentação com design assistido por IA,🎨 Design,4,Gratuito e Pago,EN,"Modelos de slides inteligentes , Design automático de apresentações, Colaboração em tempo real, Integração com PowerPoint, Biblioteca de imagens e ícones","Apresentações, Design, Produtividade",https://www.beautiful.ai/,https://www.softwareadvice.com/_next/image/?url=https%3A%2F%2Fgdm-catalog-fmapi-prod.imgix.net%2FProductLogo%2F48de95c8-f7bd-4496-9349-53112687b920.jpeg&w=256&q=75
DALL-E,Geração de imagens a partir de descrições textuais,🎨 Design,3,Pago,EN,"Gera imagens a partir de prompts de texto, Cria arte em vários estilos, Saídas de imagem de alta qualidade","Imagens, Criação",https://openai.com/dall-e,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/ChatGPT_logo.svg/2048px-ChatGPT_logo.svg.png
Artbreeder,Criação de imagens,🎨 Design,3,Gratuito e Pago,EN,"Mistura de imagens para criar novas, Exploração de criações da comunidade, Personalização de parâmetros de imagem","Arte, Colaboração, Criação",https://www.artbreeder.com,https://cdn-1.webcatalog.io/catalog/artbreeder/artbreeder-icon-filled-256.png?v=1714777026655
Dream by Wombo,Criação de arte digital a partir de texto,🎨 Design,3,Gratuito e Pago,EN,"Geração de arte digital baseada em descrições, Escolha de estilo artístico, Exportação de imagens, Personalização do tema, Integração com redes sociais","Arte, Criação, Wallpapers",https://www.wombo.art,"https://s.cafebazaar.ir/images/icons/com.womboai.wombo-be6118be-0c53-4c29-a265-9462499bcf24_512x512.png?x-img=v1/resize,h_256,w_256,lossless_false/optimize"
NightCafe,Ferramenta de criação de arte e estilo digital,🎨 Design,4,Gratuito e Pago,EN,"Geração de imagens baseadas em temas, Estilos variados de arte, Personalização de parâmetros, Integração com redes sociais, Opções de impressão","Arte, Estilo, Criação",https://creator.nightcafe.studio,https://nightcafe.studio/cdn/shop/files/night-cafe-logo_978x.png?v=1614787028
MyHeritage,Ferramenta de animação de fotos antigas,🎨 Design,4,Gratuito e Pago,EN,"Anima rostos em fotos, Melhora a qualidade da foto, Compartilhamento fácil de animações",,https://www.myheritage.com/deep-nostalgia,https://static1.makeuseofimages.com/wordpress/wp-content/uploads/2012/08/MyHeritage_icon.jpg
SuferSEO,Ferramenta de SEO com otimização de conteúdo orientada por dados,🔍 Análise,4,Gratuito,EN,"Análise de palavras-chave, Auditoria de conteúdo, Planejador de conteúdo, Integração com ferramentas de escrita, Análise de backlinks","SEO, Conteúdo, Otimização",https://www.surferseo.com,https://uploads.commoninja.com/searchengine/wordpress/surferseo.png
Brand24,Monitoramento de marca e análise de menções online,🔍 Análise,3,Pago (teste gratuito),EN,"Monitoramento de menções, Análise de sentimento, Relatórios em tempo real, Monitoramento de redes sociais, Personalização de alertas","Marketing, Análise, Monitoramento",https://www.brand24.com,https://play-lh.googleusercontent.com/w2LU8ethnOpquVcbJAVkikSTnX83IS5m5Js-9dOOOtC6CrGltm2-Puu4btu1azc_zyg
HubSpot Content Assistant,Criação e análise de marketing,🔍 Análise,4,Pago,EN,"Planejamento de conteúdo, Análise de performance de campanhas, Automação de marketing, Integração com CRM HubSpot, Insights sobre público-alvo",,https://www.hubspot.com,https://cdn-icons-png.flaticon.com/256/5968/5968872.png
Otter.ai,"Uma ferramenta de transcrição automática que captura reuniões e conversas em tempo real, facilitando o registro de informações.",💬 Comunicação,4,Gratuito e Pago,EN,"Transcrição automática de reuniões, Reconhecimento de locutores, Sincronização com calendário, Edição de transcrições em tempo real, Exportação de transcrições em vários formatos","Transcrição, Áudio, Reconhecimento de Voz",https://otter.ai,https://media.tekpon.com/2023/04/Otter-ai-Logo.webp
Cloud Speech-to-Text,"Um serviço de transcrição automática de áudio do Google, que converte fala em texto em tempo real.",💬 Comunicação,4,Pago,Multilíngue,"Transcrição em tempo real, Reconhecimento de fala em mais de 120 idiomas, Suporte a áudio pré-gravado e streaming, Identificação de locutores, Configuração de modelos personalizados","Transcrição, Áudio, Reconhecimento de Voz",https://cloud.google.com/speech-to-text,https://www.gstatic.com/devrel-devsite/prod/v0e0f589edd85502a40d78d7d0825db8ea5ef3b99ab4070381ee86977c9168730/cloud/images/cloud-logo.svg
Audiopen.ai,Uma ferramenta de transcrição automática que converte notas e gravações de áudio em texto facilmente.,💬 Comunicação,4,Pago,EN,"Transcrição de notas de áudio, Identificação de locutores, Organização e categorização de transcrições, Exportação de arquivos, Ferramentas de edição de transcrições","Transcrição, Áudio, Organização",https://audiopen.ai,https://audiopen.cdn.bubble.io/f1681586361226x441408577463338300/record.svg
Mendeley ,Gerenciador de referências e rede social acadêmica que facilita a organização de pesquisas e a colaboração entre pesquisadores.,📚 Educação,4,Gratuito,"EN, PT","Gerenciar e compartilhar trabalhos de pesquisa, Geração de bibliografias, Descoberta de tendências de pesquisa","Pesquisa, Referências, Colaboração",https://www.mendeley.com,https://banner2.cleanpng.com/20190309/vuz/kisspng-mendeley-logo-computer-software-reference-manageme-1713902332467.webp
Wolfram Alpha,Motor de conhecimento computacional que responde a perguntas e realiza cálculos em diversos campos do conhecimento.,📚 Educação,3,Gratuito e Pago,"EN, PT","Resolve problemas matemáticos, Fornece dados factuais, Gera visualizações","Computação, Conhecimento, Dados",https://www.wolframalpha.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpAaQwBFxVfr-2-8gyZERMs5mF_bjBUuGlmQ&s
ClassPoint AI,"Extensão para PowerPoint que adiciona recursos interativos e de avaliação em tempo real, aprimorando apresentações.",📚 Educação,4,Pago,"EN, PT","Quizzes interativos, Feedback em tempo real dos alunos, Ferramentas de anotação","Ensino, Interatividade, Apresentação",https://www.classpoint.io,https://www.classpoint.io/_next/static/media/textLogoColor.96f09a1c.svg
Gradescope ,Plataforma que automatiza a correção de avaliações e fornece feedback rápido aos alunos.,📚 Educação,3,Pago,"EN, PT","Correção automatizada, Suporte para vários tipos de tarefas, Análise de desempenho dos alunos","Correção, Automação, Análise",https://www.gradescope.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnwlw4QKZl1AvIKHAmrtIW0rPXbtbnDfMVgQ&s
Quillbot ,Ferramenta de parafraseamento que aprimora a escrita e oferece sugestões de reformulação de textos.,📚 Educação,4,Pago,"EN, PT","Parafraseamento de textos, Sugestões de melhorias, Modos de reescrita, Expansão de vocabulário, Correção gramatical",,https://www.quillbot.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr4ccOo9DfZdcqGDpygRtkfKIIX9PRJrhQdQ&s
Photomath ,"Aplicativo que resolve problemas matemáticos usando a câmera do dispositivo, fornecendo explicações passo a passo.",📚 Educação,4,Gratuito e Pago,"EN, PT","Soluções passo a passo, Suporta problemas manuscritos, Capacidades de gráficos","Matemática, Solução, Educação",https://www.photomath.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnf84-d0KHysPJK_Ynjz1UBTchYCAj2llU-YWxC9mTdVZRCp0V
Socratic,"Assistente de estudo que responde perguntas de diversas matérias, oferecendo explicações detalhadas e recursos adicionais.",📚 Educação,4,Gratuito,"EN, PT","Explica conceitos, Fornece recursos, Suporte a múltiplas disciplinas","Lições de Casa, Assistência, Aprendizado",https://socratic.org,https://www.futurepedia.io/s3/optimized-image/2h3uGghOCKjClNIQ0XPo0s?format=auto&width=256
SlideAI.io,Ferramenta para criação automatizada de slides,📚 Educação,4,Pago,EN,"Geração automática de slides, Templates personalizáveis, Organização de conteúdo, Ferramentas de edição, Exportação em múltiplos formatos","Apresentações, Design, Produtividade",https://www.slidesai.io,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU6bq9Wd-HfTcIhV7xguw_MMCIyNbFXefJ5pKbA35m9R0XCDDyyFLoqlc6hwGsaybQ55Q&usqp=CAU
Education Co Pilot,Ferramenta de SEO com otimização de conteúdo orientada por dados,📚 Educação,4,Pago,EN,"Tutoria em tempo real, Respostas a perguntas educativas, Personalização do aprendizado, Suporte a múltiplas disciplinas, Feedback imediato",,https://www.educationcopilot.com,https://cdn.sendsteps.com/website/Kopie_van_Microsoft_365_Copilot_1080_x_700_px_d18f6ab510.png
Sendsteps.ai,Ferramenta de interação em apresentações e aulas,📚 Educação,4,Pago,EN,"Enquetes ao vivo, Sessões de perguntas e respostas, Feedback da audiência","Apresentação, Interatividade, Engajamento",https://www.sendsteps.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmvRL-jjD5C7zNLF5DI4iYIVEX88GJBKWwQZcXWFzcu7YpoEY_SYqIqHrkqHOPyFjUuRE&usqp=CAU
Yippity,Plataforma de quizzes para aprendizado,📚 Educação,4,Gratuito,EN,"Criação de quizzes personalizados, Análise de desempenho, Quizzes compartilhados pela comunidade","Quizzes, Aprendizado, Comunidade",https://www.yippity.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYlT6NIFMvTVC20WQj9RviUrsFpGgQrNoUiHkk1OPfjYFQfmSe7FVQuJebsEsJgiqqX2I&usqp=CAU
SymbMath,Ferramenta de resolução simbólica para matemática,📚 Educação,3,Gratuito,EN,"Diferenciação simbólica, Integração, Resolução de equações","Álgebra, Cálculo, Matemática",https://www.symbmath.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrhnmm_O21xFtA4BeMveRUgE_uz1r_HrPYhE-agFdeJqzJOpsudBqv1v_eD3BJpf6YZC0&usqp=CAU
Thinkster Math,"Plataforma de tutoria matemática que utiliza IA para personalizar o aprendizado, ajudando alunos a desenvolverem habilidades matemáticas.",📚 Educação,4,Pago,"EN, PT","Planos de aprendizado personalizados, Feedback em tempo real, Monitoramento de progresso","Tutoria, Matemática, Personalizado",https://hellothinkster.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn8I0a9z2quJUv5dT8YF1xmNEJ40Qh3kW_ou9EwdjJmb0NpRARDke4Hq_D1JovPPAoPcQ&usqp=CAU
Lumen5,criação de vídeos,🎥 Vídeo,4,Gratuito e Pago,EN,"Geração de vídeos a partir de textos, Banco de imagens e vídeos, Templates personalizáveis, Exportação em alta resolução, Suporte para redes sociais""","Vídeo, Conteúdo, Criação",https://www.lumen5.com,https://lumen5.com/learn/wp-content/uploads/2022/03/L5-logo-fullColor-rgb-Purple-Square.png
Storydoc ,criação de apresentações interativas,🎥 Vídeo,3,Pago (teste gratuito),EN,"Apresentações interativas, Monitoramento de engajamento, Templates personalizáveis, Análise de comportamento, Integração com CRM","Storytelling, Negócios, Engajamento",https://www.storydoc.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkiJay5shdsCyUhYXbApX9ZYUSzdcLQ5XlrSE70Sk1IJMzllwGf32XoOLzQQsBRLO7-Fg&usqp=CAU
JoggAI ,criação de anúncios em vídeo,🎥 Vídeo,3,Gratuito,PT,"Sugestões de rotas personalizadas, Monitoramento de distância, Integração com aplicativos de fitness","Saúde, Corrida, Rotas",https://hellothinkster.com/,https://res.jogg.ai/sub-module/static-file/71e8c708db37
Zapier,Plataforma de automação que conecta diferentes aplicativos para automatizar fluxos de trabalho,🤖 Automação,3,Gratuito e Pago,EN,"Conexão entre aplicativos, Automação de tarefas repetitivas, Criação de fluxos de trabalho personalizados, Integração com CRM e marketing, Sistema de notificações","Automação, Integração, Produtividade",https://www.zapier.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN6ZksjABBgxRBWulwOsbWbQS0zOzSc7WVQcYZG9HXEeSgXE-hl_axFf3K4jY1gjrR3a4&usqp=CAUU
Lately,Plataforma de marketing de conteúdo que utiliza IA para gerar e gerenciar postagens em redes sociais,🤖 Automação,4,Pago (teste gratuito),EN,"Geração de posts de redes sociais, Criação de campanhas, Monitoramento de engajamento, Automação de agendamento, Análise de performance","Marketing de Conteúdo, Redes Sociais",https://www.lately.ai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ6k5YtOBimqYqnHSPEzaXruGzfd99U9RdCy_xgIjyF6_5YXBup--gLGdfM5kO6fLq7so&usqp=CAU
FeedHive,Plataforma de gerenciamento de redes sociais com recursos de automação e IA,🤖 Automação,4,Pago (teste gratuito),EN,"Agendamento e publicação de posts, Insights de engajamento, Recomendações de conteúdo, Biblioteca de templates, Análise de performance","Redes Sociais, Automação",https://www.feedhive.io,https://hypefury.com/wp-content/uploads/2023/04/Feedhive-logo-only-300x300.png
Timeular,Aplicativo de rastreamento de tempo que permite monitorar atividades para melhorar a produtividade,🤖 Automação,4,Pago (teste gratuito),EN,"Rastreamento de tempo, Relatórios de produtividade, Personalização de tags, Exportação de dados, Integração com aplicativos de gestão de tarefas","Produtividade, Controle de Tempo, Rastreamento",https://www.timeular.com,https://pipedream.com/s.v0/app_02h9wE/logo/orig
Seventh Sense,Ferramenta de automação de e-mails que otimiza o tempo de envio para melhorar o engajamento,🤖 Automação,4,Pago,EN,"Personalização de horários de envio,  Segmentação de público, Relatórios de engajamento, Integração com CRM, Previsões de abertura de e-mails","E-mail Marketing, Automação, Engajamento",https://www.theseventhsense.com,https://images.g2crowd.com/uploads/product/image/social_landscape/social_landscape_fe5ef8bf8d08d9ee9cf27eaf2fe7bb78/seventh-sense.jpeg
